benchmark,status-ikos,cputime (s)-ikos,walltime (s)-ikos,memory (MB)-ikos,status-mikos,cputime (s)-mikos,walltime (s)-mikos,memory (MB)-mikos,memreduction,speedup
OSS/shairplay-20180824.096b61a/shairplay.bc,OK,7.29589901,7.320319124,66.469888,OK,7.223576386,7.240454268,64.577536,0.9715306877,1.011030365
OSS/coreutils-8.31/dircolors.bc,OK,7.301615265,7.320493759,107.17183999999999,OK,6.964193627,7.015881235,56.598528,0.5281100707,1.043417571
OSS/vorbisgain-0.37/vorbisgain.bc,OK,7.424963695,7.480027907,97.869824,OK,7.215486528,7.236284488,68.64076800000001,0.7013476186,1.033683504
OSS/wavemon-0.9.0/wavemon.bc,OK,7.489521773,7.5083600729999995,125.517824,OK,6.789141654,6.8483952839999995,91.267072,0.7271243962999999,1.0963678
OSS/webfs-1.21/webfsd.bc,OK,7.537221954,7.556780402,90.20620799999999,OK,7.398828264,7.468457938999999,78.61043199999999,0.8714525723000001,1.011826064
OSS/cronie-1.5.4/crontab.bc,OK,7.549490645,7.572100725,109.1584,OK,6.807118245,6.852204907999999,56.332288,0.5160600375,1.105060463
OSS/namazu-2.0.21/namazu.bc,OK,7.608329609,7.6279952479999995,142.688256,OK,7.3144033760000005,7.3560383179999995,35.270656,0.2471868182,1.03697057
OSS/dvdauthor-0.7.2/spuunmux.bc,OK,7.591835218,7.636269955,64.282624,OK,7.0347359570000005,7.088206232,44.781568,0.6966356569,1.07732051
OSS/pcb-4.1.3/pcb.bc,OK,7.529708424,7.773169801,421.863424,OK,8.552994953999999,8.672398891,406.19622400000003,0.9628619143000001,0.8963113781000001
OSS/usb_modeswitch-2.5.2/usb_modeswitch.bc,OK,7.838604836,7.856010692999999,135.135232,OK,6.764619455,6.7046925,115.965952,0.8581474297,1.171718269
OSS/ipmitool-1.8.18/ipmievd.bc,OK,8.003175804,8.024258145,336.433152,OK,7.0902729220000005,7.244381739,201.05216000000001,0.5975991332,1.107652583
OSS/hostapd-2.7/hostapd_cli.bc,OK,8.068996577,8.088680122000001,291.905536,OK,8.168308632999999,8.244545479,42.471424,0.1454971515,0.9810947301999999
OSS/bogofilter-1.2.4/bogofilter.bc,OK,8.077039134,8.096060727000001,177.2544,OK,8.00979566,8.088055257,78.33190400000001,0.4419179665,1.0009897890000001
OSS/dwdiff-2.1.2/dwdiff.bc,OK,8.224368896,8.240125774,100.225024,OK,7.287637393,7.3479717639999995,57.786368,0.5765662675,1.121415002
OSS/wavpack-5.1.0/wvunpack.bc,OK,8.277567321,8.304000563999999,137.682944,OK,7.271728056000001,7.336452914,119.00518400000001,0.8643422384,1.131882214
