benchmark,status-ikos,cputime (s)-ikos,walltime (s)-ikos,memory (MB)-ikos,status-mikos,cputime (s)-mikos,walltime (s)-mikos,memory (MB)-mikos,memreduction,speedup,status-baseline,cputime (s)-baseline,walltime (s)-baseline,memory (MB)-baseline,vanillabaseline,baselineours
OSS/coreutils-8.31/chmod.bc,OK,17.39780862,17.42008725,303.648768,OK,16.63527431,16.68837648,253.865984,0.8360514211,1.043845533,OK,16.78781491,17.01654591,270.020608,0.8892530992,0.9401726256
OSS/coreutils-8.31/chown.bc,OK,19.31187752,19.32807173,345.378816,OK,18.14330167,18.21586857,262.701056,0.7606171654,1.061056828,OK,18.58385843,18.48410393,310.898688,0.9001672181,0.8449731895
OSS/coreutils-8.31/cp.bc,OK,246.2601652,246.2840348,2501.492736,OK,224.8409249,224.8961776,962.576384,0.3848007912,1.095101026,OK,240.2206865,240.2763112,2072.846336,0.8286437559,0.4643742121
OSS/coreutils-8.31/date.bc,OK,15.93945056,16.02447095,273.227776,OK,14.52810298,14.68806733,91.123712,0.3335082301,1.090985668,OK,15.51555564,15.6644544,241.68448,0.8845531137,0.3770358444
OSS/coreutils-8.31/dd.bc,OK,283.0585088,283.1521614,1731.674112,OK,272.3487419,272.4041655,411.541504,0.2376552846,1.039456063,OK,284.0233275,284.3084023,1426.898944,0.8239996972,0.2884167136
OSS/coreutils-8.31/df.bc,OK,15.98923033,16.01222462,242.72896,OK,15.29677405,15.35252724,107.384832,0.4424063449,1.042969953,OK,16.11033012,16.12809881,213.639168,0.8801552481,0.502645807
OSS/coreutils-8.31/dir.bc,OK,173.3338244,173.3561676,1506.070528,OK,170.3931432,170.3439515,633.778176,0.4208157349,1.017683141,OK,175.5246618,175.7843982,1295.167488,0.8599646988,0.4893407083
OSS/coreutils-8.31/dircolors.bc,OK,7.301615265,7.320493759,107.17184,OK,6.964193627,7.015881235,56.598528,0.5281100707,1.043417571,OK,7.494038823,7.544324391,103.591936,0.9665965985,0.5463603653
OSS/coreutils-8.31/env.bc,OK,32.96563253,32.99231731,217.194496,OK,28.14436072,28.16457819,138.092544,0.635801305,1.171411731,OK,32.21478506,32.26830761,195.4816,0.9000301739,0.7064222106
OSS/coreutils-8.31/expand.bc,OK,33.58628947,34.0162922,167.337984,OK,28.54520653,28.82439934,117.18656,0.7002986244,1.180121459,OK,31.99299041,32.0765524,147.587072,0.8819699417,0.7940164298
OSS/coreutils-8.31/factor.bc,OK,56.46127377,56.52412482,314.228736,OK,52.44122646,52.46041103,94.756864,0.3015537828,1.077462485,OK,55.13803106,55.18839934,295.71072,0.941068356,0.3204377034
OSS/coreutils-8.31/fmt.bc,OK,6.723956113,6.744143543,92.082176,OK,6.329326348,6.380110081,55.66464,0.6045104755,1.057057552,OK,6.631366515,6.675956199,84.5824,0.9185534451,0.6581113801
OSS/coreutils-8.31/head.bc,OK,32.9728896,32.99613891,321.150976,OK,30.35257082,30.37626612,213.897216,0.6660332117,1.086247361,OK,32.53058872,32.58433255,269.193216,0.8382139122,0.7945862053
OSS/coreutils-8.31/join.bc,OK,50.00253792,50.02003848,505.790464,OK,46.03054704,46.08419854,157.659136,0.3117083995,1.085405411,OK,48.35825042,48.40849482,445.902848,0.8815959962,0.3535728393
OSS/coreutils-8.31/leftbracket.bc,OK,170.2969481,170.3121785,2154.266624,OK,160.7554478,161.1520385,352.014336,0.1634033281,1.056841602,OK,163.3700722,163.4162357,1878.536192,0.8720072859,0.187387572
OSS/coreutils-8.31/ln.bc,OK,32.00935507,32.03211033,405.549056,OK,30.08158341,30.13598337,139.968512,0.345133369,1.062919034,OK,31.45666227,31.51204653,352.620544,0.8694892487,0.3969380525
OSS/coreutils-8.31/ls.bc,OK,175.0337747,175.0641421,1509.183488,OK,166.4195337,166.4599651,630.35392,0.4176787813,1.051689167,OK,180.6067859,180.476669,1298.538496,0.8604245318,0.4854333714
OSS/coreutils-8.31/mktemp.bc,OK,6.729965276,6.796072551,118.10816,OK,6.232638972,6.287994773,25.817088,0.2185885209,1.080801241,OK,6.282887187,6.324438446,110.891008,0.9388937056,0.2328149817
OSS/coreutils-8.31/mv.bc,OK,345.9112975,346.1281235,3852.75904,OK,330.576209,330.6479846,1606.475776,0.4169676222,1.046817581,OK,341.2218332,341.3163653,3381.919744,0.8777916576,0.4750188939
OSS/coreutils-8.31/numfmt.bc,OK,40.84980195,40.87619579,435.13856,OK,41.21018475,41.22804528,182.521856,0.4194568645,0.9914657732,OK,41.40361611,41.42828155,364.376064,0.8373793947,0.5009161524
OSS/coreutils-8.31/od.bc,OK,154.7630613,154.8009364,873.259008,OK,145.5960413,145.6159936,735.51872,0.8422686892,1.063076469,OK,157.5387648,157.5563907,732.672,0.8390088087,1.003885395
OSS/coreutils-8.31/pr.bc,OK,176.6278735,176.6440576,561.78688,OK,156.5943045,156.6883275,146.82112,0.2613466516,1.127359392,OK,180.5889832,180.6403497,482.14016,0.8582260946,0.304519582
OSS/coreutils-8.31/printf.bc,OK,9.175802777,9.195981173,86.20032,OK,8.262218519,8.320330348,64.086016,0.7434545023,1.105242315,OK,8.558618943,8.620439054,74.805248,0.8678070801,0.856704813
OSS/coreutils-8.31/pwd.bc,OK,6.793726257,6.815976561,87.609344,OK,6.388183484,6.408084754,59.469824,0.6788068633,1.063652686,OK,6.621029526,6.732251503,78.70464,0.8983589696,0.7556075982
OSS/coreutils-8.31/realpath.bc,OK,6.547952802,6.572045783,121.331712,OK,6.140832243,6.195937565,44.408832,0.366011748,1.06070239,OK,6.194522078,6.216166508,109.113344,0.8992978192,0.4069972597
OSS/coreutils-8.31/rm.bc,OK,48.45859341,48.52013069,838.36928,OK,44.77838344,44.79671831,681.61536,0.8130252101,1.083117972,OK,47.67997367,47.77625474,765.538304,0.9131278093,0.8903739453
OSS/coreutils-8.31/shred.bc,OK,15.01173788,14.89215552,138.305536,OK,13.66001514,13.70832172,68.993024,0.498844992,1.08635877,OK,14.08093618,14.16047149,124.157952,0.8977077534,0.5556875165
OSS/coreutils-8.31/shuf.bc,OK,8.321413613,8.320032361,163.893248,OK,6.536040245,6.740951315,47.112192,0.2874565766,1.234251958,OK,7.845062816,7.916344289,153.788416,0.9383450379,0.3063442178
OSS/coreutils-8.31/sort.bc,OK,1827.649131,1827.692236,6279.753728,OK,1885.214748,1885.480029,946.794496,0.1507693672,0.9693511507,OK,1851.559666,1851.636356,5357.326336,0.853110897,0.1767289197
OSS/coreutils-8.31/split.bc,OK,133.5331392,133.6328229,1214.746624,OK,141.4582,141.4083288,155.906048,0.1283444999,0.9450138055,OK,148.0562182,148.3801696,1002.676224,0.825420054,0.1554899221
OSS/coreutils-8.31/stty.bc,OK,29.58770228,29.97999431,478.437376,OK,28.37506219,28.39590298,146.423808,0.3060459223,1.055785912,OK,28.38889598,28.4602763,425.926656,0.8902453641,0.3437770469
OSS/coreutils-8.31/tail.bc,OK,106.8617968,106.9079101,1039.699968,OK,103.0187313,103.0399707,292.380672,0.2812163903,1.037538242,OK,104.7951771,105.1440644,851.3536,0.8188454614,0.3434303584
OSS/coreutils-8.31/tee.bc,OK,6.01556047,6.044051171,66.916352,OK,5.391828892,5.41282761,40.93952,0.6118014323,1.116616232,OK,5.978489977,6.00040694,58.691584,0.8770888168,0.6975364645
OSS/coreutils-8.31/test.bc,OK,163.6510674,163.6761803,2087.636992,OK,157.9674359,158.048526,338.604032,0.1621948803,1.035607129,OK,165.9200889,165.9723261,1832.456192,0.8777657222,0.1847815154
OSS/coreutils-8.31/touch.bc,OK,13.52090404,13.6120709,248.91392,OK,12.23552071,12.33238985,62.205952,0.2499094948,1.103765861,OK,12.98013567,13.04847445,216.35072,0.8691788712,0.2875236653
OSS/coreutils-8.31/tr.bc,OK,5.407963658,5.528186013,119.599104,OK,4.988788049,5.012056697,36.67968,0.3066885852,1.102977549,OK,5.043573094,5.088463174,111.65696,0.9335936162,0.3285033015
OSS/coreutils-8.31/truncate.bc,OK,9.602596275,9.696056523,161.624064,OK,8.454798795,8.51629807,64.372736,0.3982868294,1.138529493,OK,9.245013327,9.31607225,140.06272,0.8665957069,0.4595993566
OSS/coreutils-8.31/unexpand.bc,OK,14.82442984,14.88504407,86.75328,OK,16.74694626,16.76830817,50.184192,0.578470255,0.8876890808,OK,18.14498142,18.30815489,76.382208,0.8804532578,0.657014157
OSS/coreutils-8.31/uniq.bc,OK,8.92901113,8.949005537,125.100032,OK,9.701249967,9.720207255,81.01888,0.647632768,0.9206599512,OK,10.79718086,10.87626256,108.453888,0.8669373322,0.7470352746
OSS/coreutils-8.31/vdir.bc,OK,164.4589011,164.5250759,1525.301248,OK,172.1516939,172.1961984,631.169024,0.4137995854,0.955451267,OK,182.2734409,182.3480472,1302.2208,0.8537466299,0.4846866399
OSS/coreutils-8.31/wc.bc,OK,11.09794677,11.12419281,192.421888,OK,9.884718686,9.936312547,91.01312,0.4729873558,1.119549406,OK,10.65411915,10.70841307,162.095104,0.8423943122,0.5614797594
OSS/cronie-1.5.4/crond.bc,OK,88.1556959,88.17996801,574.390272,OK,85.51667526,85.54441154,368.451584,0.6414655713,1.030809219,OK,87.34054949,87.36033036,527.691776,0.9186990131,0.6982325682
OSS/cronie-1.5.4/cronnext.bc,OK,21.07579543,21.18401508,182.726656,OK,20.2170109,20.26412757,59.056128,0.3231938311,1.045394874,OK,21.58107328,21.6002531,176.90624,0.9681468696,0.3338272748
OSS/cronie-1.5.4/crontab.bc,OK,7.549490645,7.572100725,109.1584,OK,6.807118245,6.852204908,56.332288,0.5160600375,1.105060463,OK,7.012618892,7.064519972,103.17824,0.9452157598,0.5459706233
OSS/cscope-15.9/cscope.bc,OK,421.0524906,421.1400893,970.850304,OK,390.6486448,390.6919891,296.165376,0.3050577157,1.077933772,OK,424.9992214,425.0520357,923.369472,0.9510935601,0.3207441712
OSS/cuetools-1.4.1/cuebreakpoints.bc,OK,11.25937522,11.28017784,50.266112,OK,10.19862215,10.29627283,34.6112,0.688559322,1.095559337,OK,11.11913247,11.22828358,49.410048,0.9829693611,0.7004890989
OSS/cuetools-1.4.1/cueconvert.bc,OK,9.715662452,9.792345117,63.557632,OK,8.529226328,8.552313179,34.148352,0.537281691,1.144993748,OK,8.427975839,8.480579374,61.394944,0.965972804,0.5562078858
OSS/cuetools-1.4.1/cueprint.bc,OK,11.81077177,11.84016628,51.601408,OK,10.09171664,10.1124191,35.311616,0.6843149706,1.170853993,OK,11.34548417,11.43610264,50.192384,0.9726940784,0.7035253795
OSS/cvsps-3.13/cvsps.bc,OK,24.23437173,24.2760241,834.002944,OK,20.90656621,20.95637343,392.54016,0.4706699932,1.158407688,OK,24.10706253,24.63629515,905.334784,1.085529482,0.4335856381
OSS/darkhttpd-1.12/darkhttpd.bc,OK,20.58231435,20.6120768,457.322496,OK,18.59136297,18.61644687,434.393088,0.9498616224,1.107197144,OK,19.66048742,19.85654571,453.660672,0.9919929065,0.9575286438
OSS/davfs2-1.5.5/mount.davfs.bc,OK,39.54163475,39.58799714,998.8096,OK,38.2157713,38.23630395,732.106752,0.7329792905,1.035351042,OK,38.69510378,38.78446751,869.728256,0.8707648144,0.8417649386
OSS/detox-1.3.0/detox.bc,OK,31.44229905,31.83977426,78.168064,OK,26.94494309,26.99609614,28.377088,0.3630266192,1.179421428,OK,28.87238092,28.92056599,78.426112,1.003301195,0.3618321408
OSS/detox-1.3.0/inline-detox.bc,OK,31.71088594,31.75204545,77.914112,OK,27.79412182,27.60430619,28.393472,0.3644201451,1.150256965,OK,29.98626118,30.04811969,78.790656,1.011250131,0.3603659805
OSS/dhcp-4.4.1/dhclient.bc,OK,29.52492773,30.19228941,956.755968,OK,24.52320599,24.76050402,924.962816,0.966769842,1.219372974,OK,28.54624444,29.03223062,956.542976,0.9997773811,0.9669851112
